ID,Numeric,plaintext,original_plaintext,Encrypted_Numeric,Encrypted_ID,Decrypted_Numeric,Decrypted_ID,Status,plus50,Swap_Index
F241026071,3041026071,304102607,304102607,397927651,O279276516,304102607,F241026071,OK,False,-1
Z926564963,9926564963,992656496,992656496,718717421,V887174215,992656496,Z926564963,OK,False,-1
X106599381,2306599381,730659938,230659938,450800433,U208004331,730659938,X106599381,FIXED_50,True,-1
W129746531,2229746531,222974653,222974653,438331523,S283315233,222974653,W129746531,OK,False,-1
T953208364,9453208364,945320836,945320836,790005818,E900058187,945320836,T953208364,SWAPPED,False,90
B975612090,7675612090,267561209,767561209,751012208,A910122083,267561209,B975612090,SWAPPED,True,90
K816589794,6016589794,601658979,601658979,801898817,F918988177,601658979,K816589794,OK,False,-1
G145384402,0645384402,564538440,064538440,025320796,C153207965,564538440,G145384402,FIXED_50,True,-1
Z259613968,4959613968,495961396,495961396,350852590,K208525908,495961396,Z259613968,SWAPPED,False,93
B848988394,5148988394,514898839,514898839,804358143,F943581435,514898839,B848988394,OK,False,-1
T824926280,6924926280,692492628,692492628,888176610,N981766107,692492628,T824926280,OK,False,-1
K876816847,6076816847,607681684,607681684,649235344,O892353447,607681684,K876816847,OK,False,-1
K933607775,8533607775,853360777,853360777,947639440,T976394407,853360777,K933607775,OK,False,-1
U221537306,4521537306,452153730,452153730,061451761,G114517613,452153730,U221537306,OK,False,-1
N918550482,8818550482,881855048,881855048,574609278,H846092784,881855048,N918550482,OK,False,-1
B946704865,7646704865,764670486,764670486,637219247,N872192473,764670486,B946704865,OK,False,-1
W249185438,4749185438,474918543,474918543,335708894,I257088940,474918543,W249185438,OK,False,-1
U968652482,9568652482,956865248,956865248,846679147,J966791478,956865248,U968652482,OK,False,-1
W240835731,4740835731,474083573,474083573,338666849,I286668498,474083573,W240835731,OK,False,-1
O979412230,8979412230,397941223,897941223,659326330,P893263307,397941223,O979412230,FIXED_50,True,-1
B838353165,5138353165,513835316,513835316,904319964,P943199649,513835316,B838353165,OK,False,-1
Z803329946,7403329946,740332994,740332994,511705945,B817059457,740332994,Z803329946,SWAPPED,False,106
L976057279,8676057279,867605727,867605727,839677087,I996770874,867605727,L976057279,OK,False,-1
X968213673,9868213673,486821367,986821367,940833186,T908331863,486821367,X968213673,FIXED_50,True,-1
S198159049,1898159049,689815904,189815904,009215515,A192155159,689815904,S198159049,FIXED_50,True,-1
T904438709,9404438709,440443870,940443870,802203499,F922034995,440443870,T904438709,FIXED_50,True,-1
E262557169,2962557169,296255716,296255716,439748573,S297485739,296255716,E262557169,OK,False,-1
L975556755,8675556755,867555675,867555675,958797805,U987978054,867555675,L975556755,OK,False,-1
H978509283,8278509283,827850928,827850928,801736782,F917367825,827850928,H978509283,OK,False,-1
L985283778,8685283778,368528377,868528377,732821956,X828219564,368528377,L985283778,FIXED_50,True,-1
X958059532,9858059532,985805953,985805953,946602163,T966021639,985805953,X958059532,OK,False,-1
B123202942,0123202942,512320294,012320294,075360038,H153600381,512320294,B123202942,FIXED_50,True,-1
Q976159101,9176159101,917615910,917615910,591536258,J815362583,917615910,Q976159101,OK,False,-1
P254785424,4054785424,905478542,405478542,264943160,B249431605,905478542,P254785424,FIXED_50,True,-1
W877154301,7277154301,727715430,727715430,748211762,Z882117624,727715430,W877154301,OK,False,-1
B172303187,0172303187,017230318,017230318,125638229,M156382294,017230318,B172303187,OK,False,-1
K176884047,1076884047,107688404,107688404,091078035,J110780354,107688404,K176884047,SWAPPED,False,121
J957985275,8457985275,845798527,845798527,919695144,Q996951441,845798527,J957985275,OK,False,-1
A826515065,5026515065,002651506,502651506,905514525,P955145259,002651506,A826515065,FIXED_50,True,-1
A942787072,7542787072,754278707,754278707,591785285,J817852857,754278707,A942787072,SWAPPED,False,124
J903457177,8403457177,840345717,840345717,892323099,O923230999,840345717,J903457177,SWAPPED,False,125
G874501840,5674501840,067450184,567450184,601205323,K812053239,067450184,G874501840,FIXED_50,True,-1
A260492036,2560492036,756049203,256049203,081974348,I119743486,756049203,A260492036,FIXED_50,True,-1
N912926848,8812926848,881292684,881292684,893465330,O934653300,881292684,N912926848,OK,False,-1
T871799044,6971799044,697179904,697179904,831342771,I913427710,697179904,T871799044,OK,False,-1
B131646510,0131646510,013164651,013164651,122402139,M124021397,013164651,B131646510,OK,False,-1
H128606295,0728606295,072860629,072860629,442453585,T224535858,072860629,H128606295,OK,False,-1
J259359215,3459359215,845935921,345935921,418079853,Q280798532,845935921,J259359215,FIXED_50,True,-1
T150387077,1950387077,195038707,195038707,260791759,B207917593,195038707,T150387077,OK,False,-1
Z139149278,2439149278,743914927,243914927,278772576,C287725769,743914927,Z139149278,FIXED_50,True,-1
Z808261789,7408261789,740826178,740826178,998830761,Z988307615,740826178,Z808261789,OK,False,-1
M283083259,3783083259,378308325,378308325,021383411,C113834111,378308325,M283083259,OK,False,-1
J815888644,5915888644,091588864,591588864,986284098,X962840989,091588864,J815888644,FIXED_50,True,-1
U886070744,7086070744,708607074,708607074,648356327,O883563275,708607074,U886070744,OK,False,-1
V258919075,4658919075,465891907,465891907,090042786,J100427868,465891907,V258919075,OK,False,-1
L241771744,3641771744,364177174,364177174,456426232,U264262326,364177174,L241771744,SWAPPED,False,140
H887012648,5787012648,078701264,578701264,579377674,H893776742,078701264,H887012648,FIXED_50,True,-1
H119572240,0719572240,071957224,071957224,031176127,D111761278,071957224,H119572240,OK,False,-1
B167307771,0167307771,016730777,016730777,196592491,T165924911,016730777,B167307771,OK,False,-1
N881836068,6381836068,638183606,638183606,843460629,J934606299,638183606,N881836068,OK,False,-1
X846078043,7346078043,734607804,734607804,554235514,F842355144,734607804,X846078043,OK,False,-1
G943694572,8143694572,314369457,814369457,740774757,Z807747575,314369457,G943694572,FIXED_50,True,-1
V819968321,7119968321,711996832,711996832,640398064,O803980647,711996832,V819968321,OK,False,-1
Q870077546,6670077546,167007754,667007754,904668045,P946680450,167007754,Q870077546,FIXED_50,True,-1
V130676619,2130676619,213067661,213067661,481664901,X216649014,213067661,V130676619,SWAPPED,False,149
C265335547,2765335547,276533554,276533554,257605109,A276051096,276533554,C265335547,OK,False,-1
D116748668,0316748668,031674866,031674866,192110548,T121105481,031674866,D116748668,SWAPPED,False,151
V983406227,9683406227,968340622,968340622,900254189,P902541898,968340622,V983406227,OK,False,-1
W853596156,7253596156,725359615,725359615,605229455,K852294554,725359615,W853596156,OK,False,-1
E198957606,0498957606,549895760,049895760,075527580,H155275804,549895760,E198957606,SWAPPED,True,154
N241125842,3841125842,384112584,384112584,084070567,I140705676,384112584,N241125842,OK,False,-1
R254052057,4254052057,425405205,425405205,002006353,A120063531,425405205,R254052057,OK,False,-1
B915024047,7615024047,761502404,761502404,922681479,R926814792,761502404,B915024047,OK,False,-1
K223739739,3523739739,352373973,352373973,194166984,T141669842,352373973,K223739739,SWAPPED,False,158
M122894927,1222894927,122289492,122289492,237425928,X174259287,122289492,M122894927,OK,False,-1
D809438277,5309438277,030943827,530943827,909599696,P995996963,030943827,D809438277,FIXED_50,True,-1
D214057960,2814057960,281405796,281405796,000851993,A108519936,281405796,D214057960,OK,False,-1
A969581289,7569581289,756958128,756958128,816510604,G965106044,756958128,A969581289,OK,False,-1
Q299721825,4199721825,419972182,419972182,348947330,J289473308,419972182,Q299721825,OK,False,-1
V867732426,7167732426,716773242,716773242,777937153,C979371537,716773242,V867732426,SWAPPED,False,164
X254780416,4854780416,485478041,485478041,206555967,U165559675,485478041,X254780416,OK,False,-1
H889338887,5789338887,578933888,578933888,858691415,K986914156,578933888,H889338887,SWAPPED,False,166
V110595097,2110595097,211059509,211059509,066597412,G165974126,211059509,V110595097,OK,False,-1
S295266736,4395266736,439526673,439526673,077897702,H178977025,439526673,S295266736,OK,False,-1
X268159689,4868159689,986815968,486815968,208651336,U186513366,986815968,X268159689,FIXED_50,True,-1
D983929140,7883929140,288392914,788392914,577289359,H872893597,288392914,D983929140,SWAPPED,True,170
E244051815,2944051815,794405181,294405181,319973732,G299737326,794405181,E244051815,SWAPPED,True,171
C970586283,7770586283,777058628,777058628,670943612,R809436121,777058628,C970586283,OK,False,-1
B150442587,0150442587,015044258,015044258,179787882,R197878820,015044258,B150442587,OK,False,-1
N253158360,3853158360,385315836,385315836,132129944,N121299447,385315836,N253158360,SWAPPED,False,174
F850569714,5550569714,555056971,555056971,873306759,M933067594,555056971,F850569714,OK,False,-1
M800739832,6200739832,620073983,620073983,768955816,B989558161,620073983,M800739832,OK,False,-1
B948646937,7648646937,764864693,764864693,801172744,F911727443,764864693,B948646937,OK,False,-1
E198473007,0498473007,049847300,049847300,080376126,I103761263,049847300,E198473007,OK,False,-1
O892142088,6492142088,149214208,649214208,963707600,V937076006,149214208,O892142088,FIXED_50,True,-1
D955867331,7855867331,785586733,785586733,878921112,M989211126,785586733,D955867331,SWAPPED,False,180
W199458779,2299458779,229945877,229945877,046279670,E162796708,229945877,W199458779,OK,False,-1
P237724945,4037724945,403772494,403772494,387930760,N279307603,403772494,P237724945,OK,False,-1
I173563302,0873563302,587356330,087356330,280478163,D204781637,587356330,I173563302,SWAPPED,True,183
T906160268,9406160268,940616026,940616026,859253155,K992531556,940616026,T906160268,OK,False,-1
F897253373,5597253373,059725337,559725337,680428528,S804285287,059725337,F897253373,SWAPPED,True,185
P954137922,9054137922,405413792,905413792,685891398,S858913983,405413792,P954137922,FIXED_50,True,-1
L959202092,8659202092,865920209,865920209,745574572,Z855745729,865920209,L959202092,OK,False,-1
M947748039,8747748039,874774803,874774803,723773511,W837735117,874774803,M947748039,OK,False,-1
W987235379,9787235379,978723537,978723537,735589469,X855894699,978723537,W987235379,OK,False,-1
M299604522,3799604522,379960452,379960452,447187909,T271879090,379960452,M299604522,OK,False,-1
T837116556,6937116556,693711655,693711655,746807469,Z868074695,693711655,T837116556,OK,False,-1
O215637980,3915637980,891563798,391563798,497578215,Z275782155,891563798,O215637980,FIXED_50,True,-1
R837832179,6737832179,673783217,673783217,906940827,P969408278,673783217,R837832179,OK,False,-1
F152126820,0552126820,555212682,055212682,189737598,S197375987,555212682,F152126820,FIXED_50,True,-1
R935086420,9235086420,923508642,923508642,924867783,R948677837,923508642,R935086420,OK,False,-1
V874770258,7174770258,217477025,717477025,737912996,X879129966,217477025,V874770258,FIXED_50,True,-1
U268813301,4568813301,456881330,456881330,375527981,M255279816,456881330,U268813301,OK,False,-1
U190917890,2090917890,209091789,209091789,072035509,H120355095,209091789,U190917890,OK,False,-1
J211659556,3411659556,341165955,341165955,101252057,K112520571,341165955,J211659556,OK,False,-1
I109965041,0809965041,080996504,080996504,416831835,Q268318352,080996504,I109965041,OK,False,-1
J844216554,5944216554,594421655,594421655,834890284,I948902842,594421655,J844216554,OK,False,-1
U267892611,4567892611,456789261,456789261,367057685,L270576851,456789261,U267892611,OK,False,-1
N926116734,8826116734,882611673,882611673,787825181,D978251813,882611673,N926116734,OK,False,-1
Z815647477,7415647477,741564747,741564747,790980294,E909802949,741564747,Z815647477,OK,False,-1
R298360418,4298360418,429836041,429836041,067133293,G171332938,429836041,R298360418,OK,False,-1
B977436703,7677436703,767743670,767743670,586781961,I867819619,767743670,B977436703,OK,False,-1
H974506268,8274506268,327450626,827450626,663977271,Q839772719,327450626,H974506268,FIXED_50,True,-1
R928233446,9228233446,422823344,922823344,600186517,K801865170,422823344,R928233446,FIXED_50,True,-1
P967635946,9067635946,906763594,906763594,589323368,I893233685,906763594,P967635946,OK,False,-1
M878991282,6278991282,127899128,627899128,656471441,P864714411,127899128,M878991282,FIXED_50,True,-1
E912736785,7912736785,791273678,791273678,517529782,B875297822,791273678,E912736785,OK,False,-1
U171792659,2071792659,207179265,207179265,095045395,J150453952,207179265,U171792659,OK,False,-1
N200913499,3800913499,880091349,380091349,445730457,T257304578,880091349,N200913499,SWAPPED,True,215
A830116043,5030116043,003011604,503011604,550960005,F809600051,003011604,A830116043,SWAPPED,True,216
T810601412,6910601412,691060141,691060141,785489600,D954896007,691060141,T810601412,OK,False,-1
Q875399949,6675399949,667539994,667539994,752598613,A925986133,667539994,Q875399949,OK,False,-1
M999620477,8799620477,379962047,879962047,876675789,M966757898,379962047,M999620477,SWAPPED,True,219
O971802830,8971802830,397180283,897180283,608771812,K887718129,397180283,O971802830,FIXED_50,True,-1
B190872229,0190872229,019087222,019087222,088938831,I189388315,019087222,B190872229,OK,False,-1
H844714563,5744714563,574471456,574471456,880133833,N901338332,574471456,H844714563,OK,False,-1
A192057845,0092057845,009205784,009205784,354718995,K247189955,009205784,A192057845,OK,False,-1
K186511284,1086511284,608651128,108651128,395183340,O251833406,608651128,K186511284,FIXED_50,True,-1
F854687624,5554687624,555468762,555468762,552633719,F826337191,555468762,F854687624,OK,False,-1
E126534800,0426534800,542653480,042653480,450600990,U206009909,542653480,E126534800,SWAPPED,True,225
B227307520,2627307520,262730752,262730752,389238079,N292380799,262730752,B227307520,OK,False,-1
J193445829,0993445829,099344582,099344582,449746095,T297460957,099344582,J193445829,OK,False,-1
U957843011,9557843011,955784301,955784301,924396586,R943965869,955784301,U957843011,SWAPPED,False,227
J996277721,8496277721,349627772,849627772,883736206,N937362064,349627772,J996277721,FIXED_50,True,-1
U169444488,2069444488,706944448,206944448,450587628,U205876282,706944448,U169444488,FIXED_50,True,-1
X831321644,7331321644,733132164,733132164,883977677,N939776771,733132164,X831321644,OK,False,-1
V117068440,2117068440,211706844,211706844,184660305,S146603058,211706844,V117068440,OK,False,-1
T950706667,9450706667,945070666,945070666,686993026,S869930267,945070666,T950706667,OK,False,-1
A136298255,0036298255,503629825,003629825,217596990,V175969906,503629825,A136298255,FIXED_50,True,-1
M951369288,8751369288,375136928,875136928,670038955,R800389550,375136928,M951369288,FIXED_50,True,-1
X171505479,2371505479,237150547,237150547,014972808,B149728085,237150547,X171505479,OK,False,-1
A915880599,7515880599,751588059,751588059,873826236,M938262366,751588059,A915880599,SWAPPED,False,236
G982400587,8182400587,818240058,818240058,543786649,E837866497,818240058,G982400587,OK,False,-1
I872126069,5872126069,587212606,587212606,627625501,M876255014,587212606,I872126069,OK,False,-1
Q134161632,1634161632,163416163,163416163,039009230,D190092303,163416163,Q134161632,OK,False,-1
T140802549,1940802549,194080254,194080254,099547500,J195475003,194080254,T140802549,OK,False,-1
W862811988,7262811988,726281198,726281198,632384460,N823844604,726281198,W862811988,SWAPPED,False,241
E125392013,0425392013,042539201,042539201,283775429,D237754293,042539201,E125392013,SWAPPED,False,242
Z129943719,2429943719,742994371,242994371,368824152,L288241527,742994371,Z129943719,FIXED_50,True,-1
E978687430,7978687430,797868743,797868743,959433353,U994333538,797868743,E978687430,OK,False,-1
B809399791,5109399791,510939979,510939979,919845136,Q998451364,510939979,B809399791,SWAPPED,False,245
J888314848,5988314848,598831484,598831484,900849355,P908493551,598831484,J888314848,OK,False,-1
A827529929,5027529929,002752992,502752992,976679182,W966791827,002752992,A827529929,FIXED_50,True,-1
L969295330,8669295330,366929533,866929533,642918117,O829181171,366929533,L969295330,FIXED_50,True,-1
L184271536,1184271536,618427153,118427153,112898490,L128984901,618427153,L184271536,FIXED_50,True,-1
D928420939,7828420939,782842093,782842093,502075312,A820753123,782842093,D928420939,SWAPPED,False,250
V925115301,9625115301,462511530,962511530,692391464,T823914642,462511530,V925115301,FIXED_50,True,-1
P847629708,6547629708,654762970,654762970,960608449,V906084498,654762970,P847629708,SWAPPED,False,253
D178736397,0378736397,037873639,037873639,206376233,U163762334,037873639,D178736397,OK,False,-1
Z883125826,7483125826,248312582,748312582,678706913,R887069135,248312582,Z883125826,FIXED_50,True,-1
V150829303,2150829303,215082930,215082930,162062418,Q120624180,215082930,V150829303,OK,False,-1
U968632793,9568632793,956863279,956863279,916940065,Q969400657,956863279,U968632793,OK,False,-1
X824589672,7324589672,732458967,732458967,984874985,X948749850,732458967,X824589672,OK,False,-1
G975233861,8175233861,817523386,817523386,560396645,G803966453,817523386,G975233861,OK,False,-1
I902505712,8302505712,330250571,830250571,896176530,O961765302,330250571,I902505712,SWAPPED,True,259
L891138568,6191138568,119113856,619113856,634925208,N849252080,119113856,L891138568,SWAPPED,True,260
A259668097,2559668097,755966809,255966809,389007202,N290072025,755966809,A259668097,FIXED_50,True,-1
S116143549,1816143549,681614354,181614354,302982966,F229829667,681614354,S116143549,FIXED_50,True,-1
U111459571,2011459571,201145957,201145957,260643254,B206432546,201145957,U111459571,OK,False,-1
U891161467,7091161467,709116146,709116146,663779727,Q837797272,709116146,U891161467,OK,False,-1
D890255733,5390255733,539025573,539025573,585601958,I856019587,539025573,D890255733,OK,False,-1
B223140556,2623140556,262314055,262314055,182850216,S128502165,262314055,B223140556,OK,False,-1
I889473411,5889473411,588947341,588947341,998982243,Z989822433,588947341,I889473411,OK,False,-1
L193489331,1193489331,119348933,119348933,128400628,M184006281,119348933,L193489331,OK,False,-1
F830980440,5530980440,553098044,553098044,781092238,D910922380,553098044,F830980440,OK,False,-1
M805729658,6205729658,620572965,620572965,715397194,V853971942,620572965,M805729658,SWAPPED,False,270
I944625826,8344625826,834462582,834462582,996419627,Z964196272,834462582,I944625826,OK,False,-1
T149705452,1949705452,694970545,194970545,320814053,H208140538,694970545,T149705452,SWAPPED,True,272
J985455013,8485455013,848545501,848545501,683037169,S830371692,848545501,J985455013,OK,False,-1
X181716368,2381716368,238171636,238171636,140236455,O102364556,238171636,X181716368,SWAPPED,False,274
C193319140,0293319140,029331914,029331914,197045770,T170457703,029331914,C193319140,SWAPPED,False,275
I874310747,5874310747,087431074,587431074,784152525,D941525259,087431074,I874310747,FIXED_50,True,-1
B817317034,5117317034,511731703,511731703,875090093,M950900936,511731703,B817317034,OK,False,-1
C271962505,2771962505,777196250,277196250,063416041,G134160414,777196250,C271962505,SWAPPED,True,278
Z164614126,2464614126,246461412,246461412,381955183,N219551836,246461412,Z164614126,SWAPPED,False,280
Q838324228,6638324228,663832422,663832422,587444998,I874449985,663832422,Q838324228,OK,False,-1
O130482096,1430482096,143048209,143048209,219363723,V193637238,143048209,O130482096,OK,False,-1
T952706147,9452706147,945270614,945270614,560893816,G808938164,945270614,T952706147,OK,False,-1
T879548647,6979548647,197954864,697954864,635188497,N851884976,197954864,T879548647,FIXED_50,True,-1
C260521007,2760521007,276052100,276052100,471481867,W214818675,276052100,C260521007,OK,False,-1
T279637101,4479637101,447963710,447963710,342315597,J223155974,447963710,T279637101,SWAPPED,False,285
Z977460076,9977460076,997746007,997746007,701461257,U814612574,997746007,Z977460076,OK,False,-1
T947990360,9447990360,444799036,944799036,622750436,M827504360,444799036,T947990360,SWAPPED,True,287
C813388190,5213388190,521338819,521338819,912809283,Q928092837,521338819,C813388190,OK,False,-1
Z265871805,4965871805,496587180,496587180,001754602,A117546021,496587180,Z265871805,OK,False,-1
X825987672,7325987672,732598767,732598767,917694788,Q976947889,732598767,X825987672,SWAPPED,False,290
G178217550,0678217550,067821755,067821755,237516207,X175162078,067821755,G178217550,SWAPPED,False,291
G240787085,3140787085,314078708,314078708,284068767,D240687676,314078708,G240787085,OK,False,-1
D817393750,5317393750,031739375,531739375,944660306,T946603064,031739375,D817393750,SWAPPED,True,293
E204991456,2904991456,290499145,290499145,160123618,Q101236188,290499145,E204991456,OK,False,-1
J297540247,3497540247,349754024,349754024,303873777,F238737770,349754024,J297540247,OK,False,-1
J877817874,5977817874,597781787,597781787,938947415,S989474155,597781787,J877817874,OK,False,-1
J296813116,3496813116,849681311,349681311,186109885,S161098857,849681311,J296813116,FIXED_50,True,-1
S199989863,1899989863,189998986,189998986,489904114,X299041149,189998986,S199989863,OK,False,-1
E209859088,2909859088,290985908,290985908,254113864,A241138642,290985908,E209859088,OK,False,-1
V912812819,9612812819,961281281,961281281,829717093,H997170935,961281281,V912812819,OK,False,-1
S911531312,9311531312,931153131,931153131,760843989,B908439896,931153131,S911531312,OK,False,-1
S106492106,1806492106,680649210,180649210,096091099,J160910991,680649210,S106492106,FIXED_50,True,-1
