ID,Numeric,original_plaintext,plaintext,Encrypted_Numeric,Encrypted_ID,Decrypted_Numeric,Decrypted_ID,Status,plus50,Swap_Index
W129746531,2229746531,222974653,222974653,438331523,S283315233,222974653,W129746531,OK,False,-1
B975612090,7675612090,767561209,767561209,225895009,W158950094,767561209,B975612090,OK,False,-1
K816589794,6016589794,601658979,601658979,108173322,K181733226,601658979,K816589794,OK,False,-1
T953208364,9453208364,945320836,945320836,550868046,F808680466,945320836,T953208364,OK,False,-1
G145384402,0645384402,064538440,064538440,925084975,R950849754,064538440,G145384402,OK,False,-1
B848988394,5148988394,514898839,514898839,490895289,Z208952890,514898839,B848988394,OK,False,-1
Z259613968,4959613968,495961396,495961396,822230726,H922307262,495961396,Z259613968,OK,False,-1
T824926280,6924926280,692492628,692492628,888176610,N981766107,692492628,T824926280,OK,False,-1
K876816847,6076816847,607681684,607681684,649235344,O892353447,607681684,K876816847,OK,False,-1
K933607775,8533607775,853360777,853360777,947639440,T976394407,853360777,K933607775,OK,False,-1
U221537306,4521537306,452153730,452153730,061451761,G114517613,452153730,U221537306,OK,False,-1
N918550482,8818550482,881855048,881855048,574609278,H846092784,881855048,N918550482,OK,False,-1
B946704865,7646704865,764670486,764670486,637219247,N872192473,764670486,B946704865,OK,False,-1
W249185438,4749185438,474918543,474918543,335708894,I257088940,474918543,W249185438,OK,False,-1
U968652482,9568652482,956865248,956865248,846679147,J966791478,956865248,U968652482,OK,False,-1
W240835731,4740835731,474083573,474083573,338666849,I286668498,474083573,W240835731,OK,False,-1
O979412230,8979412230,897941223,897941223,252560047,A225600474,897941223,O979412230,OK,False,-1
B838353165,5138353165,513835316,513835316,904319964,P943199649,513835316,B838353165,OK,False,-1
L976057279,8676057279,867605727,867605727,409604784,P296047849,867605727,L976057279,OK,False,-1
Z803329946,7403329946,740332994,740332994,174519769,R145197694,740332994,Z803329946,OK,False,-1
X968213673,9868213673,986821367,986821367,348570202,J285702022,986821367,X968213673,OK,False,-1
S198159049,1898159049,189815904,189815904,614040453,L840404531,189815904,S198159049,OK,False,-1
T904438709,9404438709,940443870,940443870,145478352,O154783527,940443870,T904438709,OK,False,-1
E262557169,2962557169,296255716,296255716,439748573,S297485739,296255716,E262557169,OK,False,-1
L975556755,8675556755,867555675,867555675,958797805,U987978054,867555675,L975556755,OK,False,-1
H978509283,8278509283,827850928,827850928,801736782,F917367825,827850928,H978509283,OK,False,-1
L985283778,8685283778,868528377,868528377,421251637,R212516378,868528377,L985283778,OK,False,-1
X958059532,9858059532,985805953,985805953,946602163,T966021639,985805953,X958059532,OK,False,-1
B123202942,0123202942,012320294,012320294,787201998,D972019982,012320294,B123202942,OK,False,-1
Q976159101,9176159101,917615910,917615910,591536258,J815362583,917615910,Q976159101,OK,False,-1
P254785424,4054785424,405478542,405478542,542362386,E823623868,405478542,P254785424,OK,False,-1
W877154301,7277154301,727715430,727715430,748211762,Z882117624,727715430,W877154301,OK,False,-1
B172303187,0172303187,017230318,017230318,125638229,M156382294,017230318,B172303187,OK,False,-1
J957985275,8457985275,845798527,845798527,254957684,A249576840,845798527,J957985275,OK,False,-1
K176884047,1076884047,107688404,107688404,373207693,M232076933,107688404,K176884047,OK,False,-1
A826515065,5026515065,502651506,502651506,125776793,M157767933,502651506,A826515065,OK,False,-1
G874501840,5674501840,567450184,567450184,073693814,H136938144,567450184,G874501840,OK,False,-1
A942787072,7542787072,754278707,754278707,564026386,G840263868,754278707,A942787072,OK,False,-1
J903457177,8403457177,840345717,840345717,164821574,Q148215741,840345717,J903457177,OK,False,-1
A260492036,2560492036,256049203,256049203,882689964,N926899649,256049203,A260492036,OK,False,-1
N912926848,8812926848,881292684,881292684,893465330,O934653300,881292684,N912926848,OK,False,-1
T871799044,6971799044,697179904,697179904,831342771,I913427710,697179904,T871799044,OK,False,-1
B131646510,0131646510,013164651,013164651,122402139,M124021397,013164651,B131646510,OK,False,-1
H128606295,0728606295,072860629,072860629,442453585,T224535858,072860629,H128606295,OK,False,-1
J259359215,3459359215,345935921,345935921,689285293,S892852938,345935921,J259359215,OK,False,-1
T150387077,1950387077,195038707,195038707,260791759,B207917593,195038707,T150387077,OK,False,-1
Z139149278,2439149278,243914927,243914927,985761635,X957616355,243914927,Z139149278,OK,False,-1
Z808261789,7408261789,740826178,740826178,998830761,Z988307615,740826178,Z808261789,OK,False,-1
M283083259,3783083259,378308325,378308325,021383411,C113834111,378308325,M283083259,OK,False,-1
J815888644,5915888644,591588864,591588864,351981123,K219811237,591588864,J815888644,OK,False,-1
U886070744,7086070744,708607074,708607074,648356327,O883563275,708607074,U886070744,OK,False,-1
V258919075,4658919075,465891907,465891907,090042786,J100427868,465891907,V258919075,OK,False,-1
H887012648,5787012648,578701264,578701264,242728174,Z127281743,578701264,H887012648,OK,False,-1
L241771744,3641771744,364177174,364177174,190796600,T107966008,364177174,L241771744,OK,False,-1
H119572240,0719572240,071957224,071957224,031176127,D111761278,071957224,H119572240,OK,False,-1
B167307771,0167307771,016730777,016730777,196592491,T165924911,016730777,B167307771,OK,False,-1
N881836068,6381836068,638183606,638183606,843460629,J934606299,638183606,N881836068,OK,False,-1
X846078043,7346078043,734607804,734607804,554235514,F842355144,734607804,X846078043,OK,False,-1
G943694572,8143694572,814369457,814369457,307851297,F278512971,814369457,G943694572,OK,False,-1
V819968321,7119968321,711996832,711996832,640398064,O803980647,711996832,V819968321,OK,False,-1
Q870077546,6670077546,667007754,667007754,125492306,M154923064,667007754,Q870077546,OK,False,-1
C265335547,2765335547,276533554,276533554,934988028,S949880286,276533554,C265335547,OK,False,-1
V130676619,2130676619,213067661,213067661,650819119,P808191194,213067661,V130676619,OK,False,-1
V983406227,9683406227,968340622,968340622,397270457,O272704571,968340622,V983406227,OK,False,-1
D116748668,0316748668,031674866,031674866,763845532,B938455326,031674866,D116748668,OK,False,-1
W853596156,7253596156,725359615,725359615,605229455,K852294554,725359615,W853596156,OK,False,-1
N241125842,3841125842,384112584,384112584,849676449,J996764498,384112584,N241125842,OK,False,-1
E198957606,0498957606,049895760,049895760,938935831,S989358316,049895760,E198957606,OK,False,-1
R254052057,4254052057,425405205,425405205,002006353,A120063531,425405205,R254052057,OK,False,-1
B915024047,7615024047,761502404,761502404,922681479,R926814792,761502404,B915024047,OK,False,-1
M122894927,1222894927,122289492,122289492,500889640,A808896405,122289492,M122894927,OK,False,-1
K223739739,3523739739,352373973,352373973,075792727,H157927276,352373973,K223739739,OK,False,-1
D809438277,5309438277,530943827,530943827,035690159,D156901596,530943827,D809438277,OK,False,-1
D214057960,2814057960,281405796,281405796,000851993,A108519936,281405796,D214057960,OK,False,-1
A969581289,7569581289,756958128,756958128,816510604,G965106044,756958128,A969581289,OK,False,-1
Q299721825,4199721825,419972182,419972182,348947330,J289473308,419972182,Q299721825,OK,False,-1
X254780416,4854780416,485478041,485478041,558696975,F886969753,485478041,X254780416,OK,False,-1
V867732426,7167732426,716773242,716773242,105971260,K159712604,716773242,V867732426,OK,False,-1
V110595097,2110595097,211059509,211059509,691018839,T810188398,211059509,V110595097,OK,False,-1
H889338887,5789338887,578933888,578933888,594496507,J844965070,578933888,H889338887,OK,False,-1
S295266736,4395266736,439526673,439526673,077897702,H178977025,439526673,S295266736,OK,False,-1
X268159689,4868159689,486815968,486815968,540796468,E807964686,486815968,X268159689,OK,False,-1
C970586283,7770586283,777058628,777058628,208668170,U186681707,777058628,C970586283,OK,False,-1
D983929140,7883929140,788392914,788392914,941948296,T919482960,788392914,D983929140,OK,False,-1
E244051815,2944051815,294405181,294405181,948048486,T980484861,294405181,E244051815,OK,False,-1
B150442587,0150442587,015044258,015044258,179787882,R197878820,015044258,B150442587,OK,False,-1
F850569714,5550569714,555056971,555056971,240151832,Z101518325,555056971,F850569714,OK,False,-1
N253158360,3853158360,385315836,385315836,531184749,D811847491,385315836,N253158360,OK,False,-1
M800739832,6200739832,620073983,620073983,768955816,B989558161,620073983,M800739832,OK,False,-1
B948646937,7648646937,764864693,764864693,801172744,F911727443,764864693,B948646937,OK,False,-1
E198473007,0498473007,049847300,049847300,080376126,I103761263,049847300,E198473007,OK,False,-1
O892142088,6492142088,649214208,649214208,087522514,I175225145,649214208,O892142088,OK,False,-1
W199458779,2299458779,229945877,229945877,998992506,Z989925064,229945877,W199458779,OK,False,-1
D955867331,7855867331,785586733,785586733,488660009,X286600090,785586733,D955867331,OK,False,-1
P237724945,4037724945,403772494,403772494,387930760,N279307603,403772494,P237724945,OK,False,-1
T906160268,9406160268,940616026,940616026,116001712,L160017129,940616026,T906160268,OK,False,-1
I173563302,0873563302,087356330,087356330,512671223,B826712234,087356330,I173563302,OK,False,-1
P954137922,9054137922,905413792,905413792,313054691,G230546910,905413792,P954137922,OK,False,-1
F897253373,5597253373,559725337,559725337,646476654,O864766541,559725337,F897253373,OK,False,-1
L959202092,8659202092,865920209,865920209,745574572,Z855745729,865920209,L959202092,OK,False,-1
M947748039,8747748039,874774803,874774803,723773511,W837735117,874774803,M947748039,OK,False,-1
W987235379,9787235379,978723537,978723537,735589469,X855894699,978723537,W987235379,OK,False,-1
M299604522,3799604522,379960452,379960452,447187909,T271879090,379960452,M299604522,OK,False,-1
T837116556,6937116556,693711655,693711655,746807469,Z868074695,693711655,T837116556,OK,False,-1
O215637980,3915637980,391563798,391563798,921609182,R916091821,391563798,O215637980,OK,False,-1
R837832179,6737832179,673783217,673783217,906940827,P969408278,673783217,R837832179,OK,False,-1
F152126820,0552126820,055212682,055212682,990193657,Z901936570,055212682,F152126820,OK,False,-1
R935086420,9235086420,923508642,923508642,924867783,R948677837,923508642,R935086420,OK,False,-1
V874770258,7174770258,717477025,717477025,452418688,U224186883,717477025,V874770258,OK,False,-1
U268813301,4568813301,456881330,456881330,375527981,M255279816,456881330,U268813301,OK,False,-1
U190917890,2090917890,209091789,209091789,072035509,H120355095,209091789,U190917890,OK,False,-1
J211659556,3411659556,341165955,341165955,101252057,K112520571,341165955,J211659556,OK,False,-1
I109965041,0809965041,080996504,080996504,416831835,Q268318352,080996504,I109965041,OK,False,-1
J844216554,5944216554,594421655,594421655,834890284,I948902842,594421655,J844216554,OK,False,-1
U267892611,4567892611,456789261,456789261,367057685,L270576851,456789261,U267892611,OK,False,-1
N926116734,8826116734,882611673,882611673,787825181,D978251813,882611673,N926116734,OK,False,-1
Z815647477,7415647477,741564747,741564747,790980294,E909802949,741564747,Z815647477,OK,False,-1
R298360418,4298360418,429836041,429836041,067133293,G171332938,429836041,R298360418,OK,False,-1
B977436703,7677436703,767743670,767743670,586781961,I867819619,767743670,B977436703,OK,False,-1
H974506268,8274506268,827450626,827450626,038819684,D188196841,827450626,H974506268,OK,False,-1
R928233446,9228233446,922823344,922823344,234596142,X145961429,922823344,R928233446,OK,False,-1
P967635946,9067635946,906763594,906763594,589323368,I893233685,906763594,P967635946,OK,False,-1
M878991282,6278991282,627899128,627899128,288689975,D286899752,627899128,M878991282,OK,False,-1
E912736785,7912736785,791273678,791273678,517529782,B875297822,791273678,E912736785,OK,False,-1
U171792659,2071792659,207179265,207179265,095045395,J150453952,207179265,U171792659,OK,False,-1
Q875399949,6675399949,667539994,667539994,476617360,W266173601,667539994,Q875399949,OK,False,-1
H844714563,5744714563,574471456,574471456,167583655,Q175836550,574471456,H844714563,OK,False,-1
T810601412,6910601412,691060141,691060141,785489600,D954896007,691060141,T810601412,OK,False,-1
N200913499,3800913499,380091349,380091349,245362766,Z153627662,380091349,N200913499,OK,False,-1
A830116043,5030116043,503011604,503011604,510894919,B808949199,503011604,A830116043,OK,False,-1
O971802830,8971802830,897180283,897180283,413823033,Q238230336,897180283,O971802830,OK,False,-1
B190872229,0190872229,019087222,019087222,088938831,I189388315,019087222,B190872229,OK,False,-1
M999620477,8799620477,879962047,879962047,274606703,C246067033,879962047,M999620477,OK,False,-1
A192057845,0092057845,009205784,009205784,354718995,K247189955,009205784,A192057845,OK,False,-1
K186511284,1086511284,108651128,108651128,534533568,D845335688,108651128,K186511284,OK,False,-1
F854687624,5554687624,555468762,555468762,552633719,F826337191,555468762,F854687624,OK,False,-1
J193445829,0993445829,099344582,099344582,733792572,X837925726,099344582,J193445829,OK,False,-1
B227307520,2627307520,262730752,262730752,389238079,N292380799,262730752,B227307520,OK,False,-1
E126534800,0426534800,042653480,042653480,453482863,U234828638,042653480,E126534800,OK,False,-1
J996277721,8496277721,849627772,849627772,362461195,L224611954,849627772,J996277721,OK,False,-1
U957843011,9557843011,955784301,955784301,892214001,O922140012,955784301,U957843011,OK,False,-1
U169444488,2069444488,206944448,206944448,579221554,H892215544,206944448,U169444488,OK,False,-1
X831321644,7331321644,733132164,733132164,883977677,N939776771,733132164,X831321644,OK,False,-1
V117068440,2117068440,211706844,211706844,184660305,S146603058,211706844,V117068440,OK,False,-1
T950706667,9450706667,945070666,945070666,686993026,S869930267,945070666,T950706667,OK,False,-1
A136298255,0036298255,003629825,003629825,622323625,M823236254,003629825,A136298255,OK,False,-1
M951369288,8751369288,875136928,875136928,195802595,T158025958,875136928,M951369288,OK,False,-1
X171505479,2371505479,237150547,237150547,014972808,B149728085,237150547,X171505479,OK,False,-1
G982400587,8182400587,818240058,818240058,389510295,N295102957,818240058,G982400587,OK,False,-1
A915880599,7515880599,751588059,751588059,360143029,L201430291,751588059,A915880599,OK,False,-1
I872126069,5872126069,587212606,587212606,627625501,M876255014,587212606,I872126069,OK,False,-1
Q134161632,1634161632,163416163,163416163,039009230,D190092303,163416163,Q134161632,OK,False,-1
T140802549,1940802549,194080254,194080254,099547500,J195475003,194080254,T140802549,OK,False,-1
Z129943719,2429943719,242994371,242994371,810530865,G905308657,242994371,Z129943719,OK,False,-1
W862811988,7262811988,726281198,726281198,035318377,D153183774,726281198,W862811988,OK,False,-1
E125392013,0425392013,042539201,042539201,893790131,O937901312,042539201,E125392013,OK,False,-1
E978687430,7978687430,797868743,797868743,959433353,U994333538,797868743,E978687430,OK,False,-1
J888314848,5988314848,598831484,598831484,376990156,M269901563,598831484,J888314848,OK,False,-1
B809399791,5109399791,510939979,510939979,557721689,F877216892,510939979,B809399791,OK,False,-1
A827529929,5027529929,502752992,502752992,070469643,H104696439,502752992,A827529929,OK,False,-1
L969295330,8669295330,866929533,866929533,186522812,S165228128,866929533,L969295330,OK,False,-1
L184271536,1184271536,118427153,118427153,577239350,H872393501,118427153,L184271536,OK,False,-1
V925115301,9625115301,962511530,962511530,384970421,N249704210,962511530,V925115301,OK,False,-1
D928420939,7828420939,782842093,782842093,473102216,W231022164,782842093,D928420939,OK,False,-1
Z883125826,7483125826,748312582,748312582,328683722,H286837229,748312582,Z883125826,OK,False,-1
D178736397,0378736397,037873639,037873639,206376233,U163762334,037873639,D178736397,OK,False,-1
P847629708,6547629708,654762970,654762970,877756625,M977566250,654762970,P847629708,OK,False,-1
V150829303,2150829303,215082930,215082930,162062418,Q120624180,215082930,V150829303,OK,False,-1
U968632793,9568632793,956863279,956863279,916940065,Q969400657,956863279,U968632793,OK,False,-1
X824589672,7324589672,732458967,732458967,984874985,X948749850,732458967,X824589672,OK,False,-1
G975233861,8175233861,817523386,817523386,560396645,G803966453,817523386,G975233861,OK,False,-1
A259668097,2559668097,255966809,255966809,651573579,P815735795,255966809,A259668097,OK,False,-1
I902505712,8302505712,830250571,830250571,082883043,I128830438,830250571,I902505712,OK,False,-1
L891138568,6191138568,619113856,619113856,474796729,W247967290,619113856,L891138568,OK,False,-1
S116143549,1816143549,181614354,181614354,998021149,Z980211498,181614354,S116143549,OK,False,-1
U111459571,2011459571,201145957,201145957,260643254,B206432546,201145957,U111459571,OK,False,-1
U891161467,7091161467,709116146,709116146,663779727,Q837797272,709116146,U891161467,OK,False,-1
D890255733,5390255733,539025573,539025573,585601958,I856019587,539025573,D890255733,OK,False,-1
B223140556,2623140556,262314055,262314055,182850216,S128502165,262314055,B223140556,OK,False,-1
I889473411,5889473411,588947341,588947341,998982243,Z989822433,588947341,I889473411,OK,False,-1
L193489331,1193489331,119348933,119348933,128400628,M184006281,119348933,L193489331,OK,False,-1
F830980440,5530980440,553098044,553098044,781092238,D910922380,553098044,F830980440,OK,False,-1
I944625826,8344625826,834462582,834462582,238953642,X189536424,834462582,I944625826,OK,False,-1
M805729658,6205729658,620572965,620572965,759640273,A996402735,620572965,M805729658,OK,False,-1
J985455013,8485455013,848545501,848545501,187651870,S176518704,848545501,J985455013,OK,False,-1
T149705452,1949705452,194970545,194970545,733234693,X832346930,194970545,T149705452,OK,False,-1
I874310747,5874310747,587431074,587431074,328016258,H280162581,587431074,I874310747,OK,False,-1
X181716368,2381716368,238171636,238171636,997073624,Z970736246,238171636,X181716368,OK,False,-1
C193319140,0293319140,029331914,029331914,036182073,D161820731,029331914,C193319140,OK,False,-1
B817317034,5117317034,511731703,511731703,875090093,M950900936,511731703,B817317034,OK,False,-1
O130482096,1430482096,143048209,143048209,550609164,F806091649,143048209,O130482096,OK,False,-1
C271962505,2771962505,277196250,277196250,228455990,W184559901,277196250,C271962505,OK,False,-1
Q838324228,6638324228,663832422,663832422,587444998,I874449985,663832422,Q838324228,OK,False,-1
Z164614126,2464614126,246461412,246461412,308594158,F285941580,246461412,Z164614126,OK,False,-1
T952706147,9452706147,945270614,945270614,560893816,G808938164,945270614,T952706147,OK,False,-1
T879548647,6979548647,697954864,697954864,263333812,B233338120,697954864,T879548647,OK,False,-1
C260521007,2760521007,276052100,276052100,471481867,W214818675,276052100,C260521007,OK,False,-1
Z977460076,9977460076,997746007,997746007,065539659,G155396594,997746007,Z977460076,OK,False,-1
T279637101,4479637101,447963710,447963710,986611103,X966111032,447963710,T279637101,OK,False,-1
C813388190,5213388190,521338819,521338819,187001607,S170016078,521338819,C813388190,OK,False,-1
T947990360,9447990360,944799036,944799036,964700377,V947003775,944799036,T947990360,OK,False,-1
Z265871805,4965871805,496587180,496587180,001754602,A117546021,496587180,Z265871805,OK,False,-1
G240787085,3140787085,314078708,314078708,937879238,S978792384,314078708,G240787085,OK,False,-1
X825987672,7325987672,732598767,732598767,944680784,T946807848,732598767,X825987672,OK,False,-1
G178217550,0678217550,067821755,067821755,318194434,G281944344,067821755,G178217550,OK,False,-1
E204991456,2904991456,290499145,290499145,592433253,J824332539,290499145,E204991456,OK,False,-1
D817393750,5317393750,531739375,531739375,158298467,P182984677,531739375,D817393750,OK,False,-1
J297540247,3497540247,349754024,349754024,303873777,F238737770,349754024,J297540247,OK,False,-1
J877817874,5977817874,597781787,597781787,938947415,S989474155,597781787,J877817874,OK,False,-1
J296813116,3496813116,349681311,349681311,562208962,G822089622,349681311,J296813116,OK,False,-1
S199989863,1899989863,189998986,189998986,489904114,X299041149,189998986,S199989863,OK,False,-1
E209859088,2909859088,290985908,290985908,254113864,A241138642,290985908,E209859088,OK,False,-1
V912812819,9612812819,961281281,961281281,829717093,H997170935,961281281,V912812819,OK,False,-1
S911531312,9311531312,931153131,931153131,760843989,B908439896,931153131,S911531312,OK,False,-1
S106492106,1806492106,180649210,180649210,541983161,E819831610,180649210,S106492106,OK,False,-1
J258790687,3458790687,345879068,345879068,280050467,D200504670,345879068,J258790687,OK,False,-1
O854293513,6454293513,645429351,645429351,543017424,E830174245,645429351,O854293513,OK,False,-1
M125976382,1225976382,122597638,122597638,700292246,U802922467,122597638,M125976382,OK,False,-1
N150753503,1350753503,135075350,135075350,136432752,N164327520,135075350,N150753503,OK,False,-1
N256534700,3856534700,385653470,385653470,378698382,M286983827,385653470,N256534700,OK,False,-1
M257306254,3757306254,375730625,375730625,307979052,F279790522,375730625,M257306254,OK,False,-1
P113778725,1513778725,151377872,151377872,973469446,W934694460,151377872,P113778725,OK,False,-1
E180116002,0480116002,048011600,048011600,056809353,F168093538,048011600,E180116002,OK,False,-1
D985911511,7885911511,788591151,788591151,340080789,J200807895,788591151,D985911511,OK,False,-1
X928492663,9828492663,982849266,982849266,705594781,U855947818,982849266,X928492663,OK,False,-1
H269103546,3269103546,326910354,326910354,656834086,P868340864,326910354,H269103546,OK,False,-1
